commodity,unit,minimum_price_raw,maximum_price_raw,average_price_raw,market,price_date,source,source_url,collected_at
न्यूरो,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
ब्रोकाउली,के.जी.,रू १००.००,रू १२०.००,रू ११२.५०,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
चुकुन्दर,के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
सजिवन,के.जी.,रू २५०.००,रू ३००.००,रू २७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
रातो बन्दा,के.जी.,रू ३०.००,रू ४०.००,रू ३५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
जिरीको साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
सेलरी,के.जी.,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
पार्सले,के.जी.,रू ४००.००,रू ५००.००,रू ४५०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
सौफको साग,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
पुदीना,के.जी.,रू ३००.००,रू ४००.००,रू ३५०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
गान्टे मूला,के.जी.,रू १५०.००,रू २००.००,रू १७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
इमली,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
तामा,के.जी.,रू १४०.००,रू १६०.००,रू १५०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
तोफु,के.जी.,रू १४०.००,रू १६०.००,रू १४८.३३,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
गुन्दुक,के.जी.,रू ३००.००,रू ३५०.००,रू ३२५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
स्याउ(फूजी),के जी,रू २८०.००,रू ३००.००,रू २९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
केरा(नेपाली),दर्जन,रू २००.००,रू ३००.००,रू २५०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
केरा(मालभोग),दर्जन,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
कागती,के.जी.,रू १६०.००,रू १८०.००,रू १७०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
अनार,के.जी.,रू ४५०.००,रू ५००.००,रू ४७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
आँप(मालदह),के.जी.,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
आँप(दसहरी),केजी,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
तरबुजा(हरियो),के.जी.,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
जुनार,के.जी.,रू २७०.००,रू ३००.००,रू २८५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
भुई कटहर,प्रति गोटा,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
काक्रो(लोकल),के.जी.,रू ४०.००,रू ५०.००,रू ४५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
काक्रो(हाइब्रीड),के जी,रू १५.००,रू २०.००,रू १७.५०,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
काक्रो(लोकलक्रस),के.जी.,रू ३०.००,रू ४०.००,रू ३६.६७,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
नासपाती(लोकल),के.जी.,रू ७०.००,रू ८०.००,रू ७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
मेवा(नेपाली),के.जी.,रू ८०.००,रू ९०.००,रू ८५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
मेवा(भारतीय),केजी,रू १००.००,रू १२०.००,रू ११०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
लप्सी,के.जी.,रू ५०.००,रू ६०.००,रू ५५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
आभोकाडो,के.जी,रू ७००.००,रू ८००.००,रू ७५०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
अमला,के.जी,रू २४०.००,रू २८०.००,रू २६०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
नरिवल(काँचो),के जी,रू ६०.००,रू ८०.००,रू ७०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
नरिवल(हरियो),के जी,रू १५०.००,रू १७०.००,रू १६०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
ड्रागन फ्रुट(नेपाली),के.जी.,रू ३५०.००,रू ४००.००,रू ३७५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
अदुवा,के.जी.,रू २००.००,रू २३०.००,रू २१४.१७,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
खु्र्सानी सुकेको,के.जी.,रू ५००.००,रू ५५०.००,रू ५२५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
खुर्सानी हरियो(लाम्चो),के जी,रू ८०.००,रू ९०.००,रू ८४.५०,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
खुर्सानी हरियो(बुलेट),के जी,रू ७०.००,रू ८०.००,रू ७४.५०,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
खुर्सानी हरियो(माछे),के जी,रू ६०.००,रू ७०.००,रू ६५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
खुर्सानी हरियो(अकबरे),के जी,रू १५०.००,रू २००.००,रू १८०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
भेडे खु्र्सानी,के.जी.,रू ९०.००,रू १००.००,रू ९५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
लसुन हरियो,के.जी.,रू १००.००,रू १५०.००,रू १२५.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
हरियो धनिया,के.जी.,रू २५०.००,रू ३५०.००,रू २९१.६७,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
लसुन सुकेको चाइनिज,के.जी.,रू २००.००,रू २४०.००,रू २१८.३३,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
लसुन सुकेको नेपाली,के.जी.,रू १८०.००,रू २००.००,रू १९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
छ्यापी सुकेको,के.जी.,रू १८०.००,रू २००.००,रू १८८.३३,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
माछा सुकेको,के.जी.,रू ८००.००,"रू १,०००.००",रू ९००.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
ताजा माछा(रहु),के जी,रू ३२०.००,रू ३४०.००,रू ३३०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
ताजा माछा(बचुवा),के जी,रू २८०.००,रू ३००.००,रू २९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
ताजा माछा(छडी),के जी,रू २८०.००,रू ३००.००,रू २९०.००,Kalimati,2026-07-31,Kalimati Market Development Board,https://kalimatimarket.gov.np/price,2026-07-31T08:05:39.243544+05:45
